id,pagerank
21729,161.61905146396023
22208,104.87886116323958
22440,86.22183501079726
22057,77.45357283823154
22438,73.65058372050403
22329,62.94179368741337
21781,49.38213014059961
21955,47.92487979540022
22403,47.79415999296534
22230,47.74017131165502
22349,46.68963780845341
20415,42.998919045598015
22375,42.847819760237456
21325,41.00145803874233
8302,40.43430737818613
20510,36.55763319221216
21750,36.47162043047349
19743,35.956428289426846
20888,34.72420162881878
21491,33.47392238911737
4886,32.39365772906449
21708,32.134497967016586
21740,31.59363073299102
22252,31.52975583401344
19432,31.471158391625348
21767,31.399812143998847
21338,31.11139378251523
22110,30.629934113412325
21662,29.32341448999874
22338,29.28899506957527
21907,29.26842440980304
21803,29.123805787861322
22171,28.72575559345796
21254,27.469707655903843
22207,26.236426472422362
19347,25.83263463119354
21681,25.636650633500107
21718,25.50356018032284
20892,25.047037293536523
21860,24.46451263018075
21758,24.243014030102735
21922,23.35118024938322
21838,23.18369488152803
22228,22.05588393708722
22317,21.856818333897543
22460,21.37892015076101
16809,21.016436600273497
21489,20.754057216021177
12597,20.72256471178184
22052,20.66223005263782
22280,20.576841566274055
22433,20.534046345351133
21569,20.498105346926415
21496,20.474060653092067
21810,20.473091927458604
22094,20.223728921341607
21917,19.86216317965092
22166,19.638025979314868
21498,19.386662543336723
16895,19.357903582089396
21771,19.151080160764575
21764,19.141766661917018
22177,19.000122603736493
21921,18.814249479304884
22010,18.80934570416333
22130,18.780998364679256
21224,18.51596273808945
22266,18.50423153527878
22450,18.414069009732795
21315,18.348443557941902
22007,18.231725926123193
21341,18.21919224507121
22284,18.204480231333584
21339,18.08639778357075
21054,17.917525962326927
22316,17.847414051393905
22380,17.68511279840037
22296,17.667127968742104
20857,17.64764754696665
22381,17.491501130400135
19983,17.398421023473784
21940,17.224396246614432
1225,17.137971151877714
22243,17.054417223361856
22144,17.04116575687842
21879,17.015191230166874
21722,16.974528792878033
11954,16.946327881049843
21536,16.9403455163116
22425,16.845030742329236
20188,16.82631299872143
21088,16.791035694170308
21897,16.584789839616278
21663,16.56438642623406
22378,16.506219713081958
22330,16.36237767023595
22162,16.30632807428916
21438,16.16053442812856
21272,16.10602344535507
20810,16.087250912549987
21784,15.62489400076229
20730,15.57103802815006
22158,15.564321847558336
21811,15.478655891463276
20922,15.336357333752302
19757,15.254816230408032
22248,15.175852055030225
21284,15.175728582984663
22354,15.174905762193772
19367,15.163150667567228
22421,15.112279955483153
22041,15.044405169650178
21351,14.995468834080388
22435,14.968291800961559
20210,14.905131837973165
22239,14.785219708060007
11078,14.781011708533073
8095,14.732433535739206
22407,14.707095170960795
14497,14.6682137521229
21323,14.640252991295778
22056,14.32771716848998
21196,14.310713199726898
21512,14.245336284857448
21946,14.189866979395237
21026,14.108656865183136
22401,14.039540062516634
22137,14.001968610578322
22241,13.968342183906348
20559,13.914209552130616
21335,13.871768094951276
21013,13.66085644495104
20902,13.577897877426473
21212,13.550179973827113
3832,13.456638210545604
18966,13.444953903417519
21103,13.359115913359227
22023,13.350694737518232
20930,13.344366977854449
21375,13.321027027409574
20586,13.154492640610306
21975,13.038713179691186
22156,13.016891811006612
22181,12.978253212006553
21759,12.900899660787891
20990,12.885432592500694
20276,12.794885718748226
21555,12.761854250354482
22173,12.681161746609263
22352,12.638152718017968
22289,12.635071472250747
21324,12.614305514677488
20660,12.550208151880591
20931,12.51809880627278
22414,12.28343492398761
7265,12.274269602614028
22229,12.256459834820811
18155,12.24533499370651
20976,12.177054270281051
21572,12.078102146096425
